model,Rainfall_MSE,Rainfall_RMSE,Rainfall_MAE,Rainfall_R2,Rainfall_MAPE,Min_Temperature_MSE,Min_Temperature_RMSE,Min_Temperature_MAE,Min_Temperature_R2,Min_Temperature_MAPE,Max_Temperature_MSE,Max_Temperature_RMSE,Max_Temperature_MAE,Max_Temperature_R2,Max_Temperature_MAPE,Overall_MSE,Overall_RMSE,Overall_MAE,Overall_R2,Overall_MAPE,param_n_estimators,param_max_depth,param_random_state
random_forest_multi_output,3316.924007055205,57.59274265960256,42.50499863013698,0.5493735805977886,16648438426.058395,0.3307798219178084,0.5751346119977552,0.4461232876712331,0.6811912117704506,1.854199881223612,0.651918870952879,0.8074149310935976,0.6223256849315068,0.3291192103885979,1.915761161174425,1105.9689019160253,19.658430734231302,14.524482534246571,0.5198946675856124,5549479476.609453,100,20,42
random_forest_multi_output,4631.954536461944,68.05846410595778,40.404775,0.3785871355449322,17864208428.04975,0.21013020833333337,0.45839961641926946,0.3538194444444447,0.7988022127203716,1.4778386023768402,0.6436325992555587,0.8022671620199587,0.6190038029100526,0.33157882615499246,1.904620932382124,1544.2694330898441,23.10637696146567,13.792532749118166,0.5029893914734321,5954736143.810738,100,20,42
