model,MSE,RMSE,MAE,R2,MAPE,param_hidden_size,param_num_layers,param_output_size,param_dropout
lstm,6087.984,78.025536,56.855076,0.1832494735717773,157609450.0,64,2,1,0.2
lstm,6356.45751953125,79.7273941040039,56.85831832885742,0.14723163843154907,264671050.0,64,2,1,0.2
